,nombre,fecha_nacimiento,pais_nacimiento,activo desde,premios
61,Josh Duhamel,14 de noviembre de 1972 ,Estados Unidos,1987,['Daytime Emmy al mejor actor de reparto en una serie dramática 2002 All My Children']
62,Bridget Moynahan,14 de noviembre de 1972 ,2012.,1987,['Daytime Emmy al mejor actor de reparto en una serie dramática 2002 All My Children']
63,Sandra Oh,20 de julio de 1971 ,Canadá,1987,"[""Mejor actriz de reparto de serie, miniserie o telefilme 2006 Grey's Anatomy Mejor actriz de serie de televisión - Drama 2018 Killing Eve"", ""Mejor actriz de televisión en drama 2005 Grey's Anatomy 2018 Killing Eve Mejor reparto de TV 2006 Grey's Anatomy Mejor reparto 2004 Sideways"", ""Theatre World Award (1999) Paseo de la Fama de Canadá (2011) Governor General's Performing Arts Award (2019) Oficial de la Orden de Canadá (2022)""]"
64,Hutch Dano,20 de julio de 1971 ,2014.,1987,"[""Mejor actriz de reparto de serie, miniserie o telefilme 2006 Grey's Anatomy Mejor actriz de serie de televisión - Drama 2018 Killing Eve"", ""Mejor actriz de televisión en drama 2005 Grey's Anatomy 2018 Killing Eve Mejor reparto de TV 2006 Grey's Anatomy Mejor reparto 2004 Sideways"", ""Theatre World Award (1999) Paseo de la Fama de Canadá (2011) Governor General's Performing Arts Award (2019) Oficial de la Orden de Canadá (2022)""]"
65,Brendan Fraser,3 de diciembre de 1968 ,Estados Unidos,1987,"['Mejor actor 2022 The Whale', 'Mejor reparto 2005 • Crash Mejor actor 2022 • The Whale', 'Premio de la Crítica Cinematográfica al mejor actor 2022 • The Whale Premio Satellite al mejor actor - Drama 2022 • The Whale', 'Premio de la Crítica Cinematográfica Paseo de la Fama de Canadá (2006) Romy (2023)']"
66,Brooke Shields,31 de mayo de 1965 ,Estados Unidos,1987,"['Razzie a la peor actriz (1981) , al peor actor de reparto (1985) y a la peor actriz de reparto (1990) Theatre World Special Award (1995)']"
67,Ken Jeong,13 de julio de 1969 ,Estados Unidos,1997,"['Razzie a la peor actriz (1981) , al peor actor de reparto (1985) y a la peor actriz de reparto (1990) Theatre World Special Award (1995)']"
68,Matt Prokop,29 de julio de 1990 ,Estados Unidos,2007,"['Razzie a la peor actriz (1981) , al peor actor de reparto (1985) y a la peor actriz de reparto (1990) Theatre World Special Award (1995)']"
69,Skyler Samuels,14 de abril de 1994 ,Estados Unidos,2007,"['Razzie a la peor actriz (1981) , al peor actor de reparto (1985) y a la peor actriz de reparto (1990) Theatre World Special Award (1995)']"
70,Angela Kinsey,25 de junio de 1971 ,Estados Unidos,2007,"['Premio Daytime Emmy', 'Premio Daytime Emmy']"
71,Patrice O’Neal,25 de junio de 1971 ,2019.,2007,"['Premio Daytime Emmy', 'Premio Daytime Emmy']"
