,0,1,2,3,4,5
81,5.6,Jeff Dylan Graham,"Jeff Dylan Graham, Dan Casserole, J.T. Seaton","A severely traumatized man, suffering from a condition which causes him partial blindness and amnesia, seeks answers to the mystery of what really happened to him.",No tiene datos,Psychosomatika
82,5.9,Aaron Michael Metchik,Aaron Michael Metchik,"10 Years Later is a dark comedy about six childhood best friends returning home for their ten year high school reunion. When one of them kidnaps an enemy from their past and inadvertently gets the others involved, each must decide whether to turn in a best friend or become accomplices in a dark plot that none of them are sure they can pull off.",98,10 Years Later
83,5.2,Cyrill Boss,"Cyrill Boss, Philipp Stennert, Andreas Gaw",Jerry Cotton is the best agent of the FBI and suspected of murder. So he has to find the real killers of gangster boss Serrano.,90,Jerry Cotton
84,No tiene datos,Zhengyu Lu,"Xiaodan Guo, Zhengyu Lu, Pipi Wu",No tiene argumento,96,Yi zhi gou de daxue shiguang
85,3.8,Major Ravi,Major Ravi,Four kids spending their vacation in a small village find a wounded dog and decide to keep it. But the village has this strange superstition that dogs bring bad luck. What can they do?,85,Oru Avadhikaalam
86,6.1,Lucas Blanco,"Lucas Blanco, Roberto Montini","The lives of four people weave together in unexpected ways without each of them realizing the effect their actions are having on the lives of the others. Each is searching for love while love may be staring them straight in the eye right, in this modern tale of love's mysterious nature.",95,Amor en tránsito
87,No tiene datos,François Lamoureux,Trevor Boris,No tiene datos,No tiene datos,Trevor Boris: Over Easy
88,3.6,Patrick Levy,Patrick Levy,"A young man decided after paying his duty to the society decide to change his life and to become a filmmaker. Only one problem : he's nobody, works for a gangster and doesn't know the cinema industry. His solution blackmailing and better be the right guy.",81,Les princes de la nuit
89,5.5,Barry W. Blaustein,Peter Himmelstein,Four siblings implode after the release of a book written about them.,79,Peep World
90,5.4,Robert Luketic,"Bob De, Rosa","Una mujer de vacaciones conoce al hombre ideal, con el que rápidamente se casa. De vuelta en casa, su idilio se desvanece cuando descubren que sus vecinos podrían ser asesinos a sueldo contratados para matarlos.",100,Killers
91,7.8,Tim Clarke,Tim Clarke,"'Cornhole: The Movie' is a mockumentary feature film that examines the lives of four groups of quirky characters who have sacrificed, exploited, and shamed those in their lives to gain a certain level of minimal fame in the Cincinnati-based sport of Cornhole.",90,Cornhole: The Movie
92,3.7,Russ Parr,Russ Parr,An aspiring pimp struggles to make a mint after inheriting his late uncles escort service and discovering that competition on the streets is fierce.,80,Something Like a Business
93,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos
94,5.9,Geoff Marslett,Geoff Marslett,"The discovery of life on Mars places a robotic expedition and a manned mission in a race to the Red Planet. On the way we discover that love - biological, spiritual, and even mechanical - can flourish in all kinds of ways.",90,Mars
95,No tiene datos,Uros Raztresen,"Miomir Cikic, Uros Raztresen",Farmer Pajo spends his days in the countryside visiting more or less interesting fellow citizens.,90,Prigode kmeta Pajota
96,7.0,Jeff Tremaine,Jeff Tremaine,"Los chicos de Jackass han vuelto, así que prepárate para contemplar, desde una distancia segura e higiénica, las increíbles, explícitas y no censuradas actividades de estos entrañables idiotas.",94,Jackass 3D
97,5.9,Jim Kouf,Jim Kouf,"A prisoner escapes and hides in a barn. He sees a woman dragging a body out the house and into a car trunk. He helps with the body, that turns out to be alive.",105,A Fork in the Road
98,5.6,Taylor Hackford,Mark Jacobson,Un drama centrado en una pareja casada que abrió el primer burdel legal en Nevada.,117,Love Ranch
