,0,1,2,3,4,5
95,8.0,Kang Je-kyu,"Kang Je-kyu, Sang-don Kim, Han Ji-hoon","Cuando dos hermanos se ven obligados a luchar en la guerra de Corea, el mayor decide aceptar las misiones más arriesgadas para tratar de evitar que el menor se vea envuelto en la batalla.",140,Lazos de guerra
96,7.6,Chuan Lu,Chuan Lu,Una conmovedora historia real sobre voluntarios que protegen a los antílopes de los cazadores furtivos en las montañas del Tíbet.,85,La patrulla de la montaña
97,6.0,Milan Luthria,Anurag Kashyap,A group of Indian POW (Prisoners Of War) rebels against Pakistani army and tries to escape from their captivity during India-Pakistan war in 1971.,163,Deewaar: Let's Bring Our Heroes Home
98,4.6,Jakob Schäuffelen,"Axel Melzener, Jörn Precht, Frank Weiss",Young Mia is totally in love with cars and spends every free minute tinkering with her mother's old VW Beetle. Her big dream is to take part in the Paris-Dakar Rally someday.,86,Abgefahren
99,5.9,Han-jun Park,Won-jun Ha,Go-Bong has a huge crush on Gye-Soon who works at a fast food restaurant without knowing that the girl he love is a spy from North Korea.,102,Geunyeoreul moreumyeon gancheob
100,5.1,Marco Mak,"Kai-Cheung Chung, Derick Lau, Ask Lee","Rural kung fu whiz Qiang travels to visit his friend Lung, who's taken up Xanda, a new martial art that fuses multiple styles. When Lung is grievously wounded by the Xanda champ, Qiang trains in the sport to seek revenge in the ring.",92,Combate final
101,4.4,Nick Groff,"Nick Groff, Michael A. Martinez","Antonio owes the Robaldo family a hundred G's, Gray wants revenge on the street gang who mugged him, Jimmy's escaped from prison, and his brother/accomplice David has many serious mental conditions. Detective Brickley is hot on their trail willing to stop them with any means necessary, while a pair of rogue psychiatrists track them to discover the roots of David's con... Leer todo",127,Malevolence
102,6.9,Joshiy,"Siby K. Thomas, Udaykrishnan","Unni, who his family thinks is an NRI, is actually a smuggler known as Valayar Paramasivam. Problems arise when his enemies start plotting against him and his brother becomes a police officer who is in pursuit of Paramasivam.",162,Runway
103,7.2,Peter Berg,Buzz Bissinger,"Basado en el libro de H.G. Bissinger, que describe la ciudad de Odessa, Texas y su heroico equipo de fútbol de secundaria, The Permian High Panthers.",118,Luces de viernes noche
104,No tiene datos,Layon Gray,Layon Gray,"In 1975, six U.S. female soldiers were captured and held hostage in a Vietnamese hooch.",136,Soldiers Don't Cry
105,7.4,Ha Yoo,Ha Yoo,"By ""Fist of Fury"", Kim Hyun-Soo (Sang-Woo Kwone) addicted to Bruce Lee. Year 1978. Hyun-Soo moved to KangNam, Seoul. Hyun-Soo transferred to JungMoon High, Maljuk Street, Kangnam, Seoul. He goes schooling by No.78 Bus. First day a senior male took Hyun-Soo's collar and made Hyun-Soo being punished inside JungMoon playground because of forgetting collar Hyun-Soo made f... Leer todo",116,El espíritu de Bruce Lee
106,2.6,Art Camacho,Thomas Callicoat,A computer virus has invaded a virtual reality fighting game leaving a rebellious teen trapped within. Now the boy's father must enter the tainted program and battle his way through a deadly maze of martial arts fighters to save his son.,90,Sci-Fighter
107,7.1,Olivier Marchal,Olivier Marchal,Dos policías compiten por la misma promoción y muy pronto se vuelven como los criminales que persiguen.,111,Asuntos pendientes
108,5.0,Jason Xenopoulos,"Tunde Babalola, Celia Couchman, Bob Mahoney","The President of an African country decrees that the Arms budget will be diverted in to the ""Water For All"", project. The journalist, Michael Power, discovers a Coup set by the arms dealers.",110,Critical Assignment
109,4.7,Michael Keusch,"Robert Kulzer, Herman Weigel","The young policeman Karl-Heinz Krause works undercover to insinuate himself into a group of Autobahn racers. While he gets to like the illegal races, besides he has to chase some people dealing stolen cars.",87,A2 Racer: Gas a fondo
110,5.6,Esmé Lammers,Barbara Jurgens,Four women from the North of Dutch town Breda are sick of their poor life. Lot is divorced and has two little kids; her friend Sam has a busy family life and an unemployed husband; Reneetje has a little daughter (and always a sniff of coke in her pocket); teacher Kers has had trouble making ends meet after her husband died. They boldly decide to rob a bank in the neig... Leer todo,100,Amazones
111,7.7,Brian Clyde,Brian Clyde,"Dedicated boxers square off against trigger-happy drug pushers in Brian Clyde's remarkably assured first feature, developed under the aegis of exec producer Roger Corman. Classy little actioner, reportedly made for a mere $100,000.",114,Rage and Discipline
112,4.1,Guddu Dhanoa,"Robin Bhatt, Sutanu Gupta, Dilip Shukla","Tony works as a hit-man for gangster, Vikas Patil, who owes his allegiance to wealthy Raj Mallya. Raj Mallya is involved in marketing spurious and out-dated drugs, and as a result is the subject of an investigation by the Food & Drugs Administration's inspector Dr. Hargobind Gosai. Raj asks Vikas to take care of Hargobind through Tony, which Tony does, and in this man... Leer todo",143,Kismat
113,5.8,Lasse Spang Olsen,"Kim Bodnia, Lasse Spang Olsen","A gang of small-time crooks screws up. Ripping off a Chinese shipping container, they find heroin belonging to Latvian mafia. A friend of theirs, a nice cop, tries to mediate, acting in good faith.",87,Den gode strømer
114,5.6,Erik Matti,"Roselle Y. Monteverde, Erik Matti, Dwight Gaston","After eating a spider doused in radioactive waste, ordinary ice cream vendor Junie uses his newfound powers to fight his rival, who becomes a mutated monster after he unknowingly ate a cockroach with the same radioactive element.",100,Gagamboy
115,5.4,Jack Ersgard,"Jesper Ersgård, Patrik Ersgård, Jack Ersgard","Once a promising writer, John Hayson now gets by on the odd writing job. A personal tragedy has left him dispassionate about the world and his work and he lives his life in limbo. In the midst of this existential crisis he attends a high school reunion and meets three old friends; acquaintances he's tried to forget but who now emerge like ominous shadows from his past... Leer todo",108,Riesgo
116,6.3,Cliff Hensley,Cliff Hensley,"In a near future America ruled by corporations, the Devil is in the details and nothing is what it seems. When the daughter of a wealthy CEO and her boyfriend scheme to fake her kidnapping and skip the country with a small fortune, her lover solicits the help of a seasoned freelance mercenary; but everyone has ulterior motives. As their plan spirals out of control, th... Leer todo",76,The Scam Artist
117,2.3,Sonu Sisupal,"John, Sudheesh","Johnny, a bus conductor, is sent to Vamanapuram to clear a bus route, where he falls in love with his boss' daughter, who is already engaged. Johnny is now at cross roads.",120,Vamanapuram Bus Route
118,5.2,James Ronald Whitney,James Ronald Whitney,No tiene argumento,No tiene datos,Games People Play: Hollywood
119,4.4,Anil Sharma,Shaktimaan Talwar,Kunal unwillingly joins the army to maintain his family's tradition and soon finds himself fighting ruthless terrorists who want to destroy the peace and harmony between India and Pakistan.,193,Ab Tumhare Hawale Watan Saathiyo
120,6.0,Charles Maupin,"Al Baker, Allen Berryman, Stewart Burchett","Documentary look at the kiteboarding and windsurfing phenomenon on Lake Hefner in Oklahoma City. An extreme documentary featuring interviews with top kiteboarders and windsurfers such as Daniel Nicholson, Nick Tubre, Lewis Lindenberg, Meterologist Mike Morgan, and Co-Founder of the Oklahoma Board Sailing Association Bruce Robertson. With a cameo appearance by Director... Leer todo",59,Liquid Wind
