,0,1,2,3,4,5,6,7
108,6.8,No tiene datos,Max Myers,Max Myers,"Scott Wilson plays Jimmy Ray in this movie. He's a rockabilly star who's a legend both because of his great hits and because he gave up music very young when his brother was killed. Now, years later he has two sons and they have a band. Jimmy Ray is an alcoholic, still consumed by his grief and angry with his sons for wanting to play music. His wife, Katharine Ross, t... Leer todo",87,Don't Let Go,tt0250804
109,8.5,No tiene datos,Roman Polanski,Ronald Harwood,Un músico judío polaco lucha por sobrevivir a la destrucción del gueto de Varsovia durante la Segunda Guerra Mundial.,150,El pianista,tt0253474
110,6.1,20,Bob Clark,Bill Boyle,"Against a backdrop of clashing cultures, John Myron and Angela Wilson find each other and over the years form a powerful bond. One tragic night, John rescues Angela from a wicked act of betrayal. Faced with its aftermath, Angela flees town, unaware that she has put into motion a dramatic and intense string of events that will forever change the course of their lives. ... Leer todo",101,Now & Forever,tt0255432
111,7.7,No tiene datos,Sam Mendes,Max Allan Collins,"En el Illinois de los años 30, el hijo de un mafioso es testigo de un asesinato que les obliga a él y a su padre a emprender el camino de la redención y la venganza.",117,Camino a la perdición,tt0257044
112,5.2,55,Alan Ari Lazar,Ronnie Apteker,"A software developer becomes a billionaire and is distracted by fame, greed and power, then must save his invention and company from a hostile takeover.",96,Purpose,tt0257019
113,5.5,No tiene datos,Andi Rogenhagen,Andi Rogenhagen,"Medical student and petty dealer Paul tastes his own stuff one night and ends up in the hospital. His father locks him up in a dog kennel at home for withdrawal. Meanwhile, the brutal drug dealer Ingo is looking for Paul.",89,Die Frau die an Dr. Fabian zweifelte,tt0256761
114,6.3,No tiene datos,Neil LaBute,A.S. Byatt,A pair of literary sleuths unearth the amorous secret of two Victorian poets only to find themselves falling under a passionate spell.,102,Posesión,tt0256276
115,6.3,No tiene datos,Jorge Alí Triana,"Jorge Alí Triana, Alberto Quiroga, Manuel Arias","A soap opera actor wants to finish Bolivar's dream of a ""Great Colombia"": a super-state of 5 Latin-American countries to stop institutional chaos, lack of opportunity and ignite the rebuilding of the region after 160 years of internal war.",93,Bolivar soy yo,tt0257282
116,6.4,No tiene datos,Carl Franklin,Joseph Finder,"La abogada Claire Kubik ve cómo su mundo da un vuelco cuando su marido, que vivía con un nombre falso, es detenido por la policía militar y juzgado por el asesinato de unos aldeanos mientras estaba en la Marina.",115,Toda la verdad,tt0257756
117,7.2,No tiene datos,Alexander Payne,Louis Begley,"Un hombre recientemente jubilado se embarca en un viaje hacia la boda de su hija, solo para descubrir más sobre sí mismo y la vida de lo que esperaba.",125,A propósito de Schmidt,tt0257360
118,6.8,No tiene datos,David Fincher,David Koepp,"Una mujer divorciada y su hija diabética se refugian en la habitación del pánico de su nueva casa, cuando tres hombres irrumpen en ella en busca de una fortuna desaparecida.",113,La habitación del pánico,tt0258000
119,7.0,No tiene datos,Phillip Noyce,Graham Greene,Un viejo reportero británico compite con un joven médico estadounidense por el afecto de una bella mujer vietnamita.,101,El americano impasible,tt0258068
120,6.1,No tiene datos,Tom Shadyac,"Brandon Camp, Mike Thompson, David Seltzer",Un médico afligido es contactado por su esposa fallecida a través de las experiencias cercanas a la muerte de sus pacientes.,104,Dragonfly (La sombra de la libélula),tt0259288
121,6.6,No tiene datos,Joel Zwick,Nia Vardalos,"Una joven griega se enamora de un no griego y lucha por conseguir que su familia lo acepte, mientras ella se enfrenta a su herencia e identidad cultural.",95,Mi gran boda griega,tt0259446
122,7.0,53,Charles Stone III,Azie Faison Jr.,"A young man from Harlem, forced to cope with the 1980s drug scene, builds an illegal empire, only to have a crisis of conscience.",97,Paid in Full,tt0259484
123,6.1,51,Andrew Niccol,Andrew Niccol,"La película de un productor está en peligro cuando su estrella se marcha, por lo que decide crear digitalmente una actriz, convirtiéndose de la noche a la mañana en una sensación que todo el mundo piensa que es una persona real.",117,Simone,tt0258153
124,6.7,No tiene datos,Pascal Morelli,"Hugo Pratt, Natalia Borodin, Thierry Thomas","In 1918, civil wars are tearing Russia and China apart. Laconic adventurer Corto Maltese is hired by a Chinese secret society to capture a train that's taking Tzar's gold abroad. His friend Rasputin joins him, but only hell awaits them.",92,CortoMaltés: La película,tt0259134
