,0
750,No tiene datos
751,No tiene datos
752,No tiene datos
753,No tiene datos
754,No tiene datos
755,65
756,No tiene datos
757,77
758,29
759,No tiene datos
760,No tiene datos
761,No tiene datos
762,No tiene datos
763,No tiene datos
764,No tiene datos
765,No tiene datos
766,No tiene datos
767,No tiene datos
768,No tiene datos
769,No tiene datos
770,No tiene datos
771,No tiene datos
772,No tiene datos
773,No tiene datos
774,40
775,No tiene datos
776,No tiene datos
777,No tiene datos
778,No tiene datos
779,No tiene datos
780,23
781,21
782,No tiene datos
783,No tiene datos
784,57
785,No tiene datos
786,No tiene datos
787,No tiene datos
788,No tiene datos
789,No tiene datos
790,No tiene datos
791,37
792,No tiene datos
793,100
794,83
795,No tiene datos
796,No tiene datos
797,No tiene datos
798,No tiene datos
799,No tiene datos
800,49
801,No tiene datos
802,No tiene datos
803,No tiene datos
804,No tiene datos
805,No tiene datos
806,No tiene datos
807,No tiene datos
808,No tiene datos
809,No tiene datos
810,22
811,No tiene datos
812,No tiene datos
813,48
814,No tiene datos
815,No tiene datos
816,No tiene datos
817,No tiene datos
818,No tiene datos
819,No tiene datos
820,No tiene datos
821,No tiene datos
822,No tiene datos
823,No tiene datos
824,No tiene datos
825,No tiene datos
826,80
827,No tiene datos
828,No tiene datos
829,No tiene datos
830,No tiene datos
831,No tiene datos
832,No tiene datos
833,No tiene datos
834,89
835,No tiene datos
836,No tiene datos
837,38
838,No tiene datos
839,No tiene datos
840,No tiene datos
841,No tiene datos
842,No tiene datos
843,60
844,No tiene datos
845,26
846,No tiene datos
847,No tiene datos
848,81
849,No tiene datos
850,No tiene datos
851,No tiene datos
852,47
853,No tiene datos
854,No tiene datos
855,No tiene datos
856,No tiene datos
857,No tiene datos
858,No tiene datos
859,No tiene datos
860,No tiene datos
861,No tiene datos
862,No tiene datos
863,82
864,No tiene datos
865,75
866,No tiene datos
867,No tiene datos
868,32
869,No tiene datos
870,No tiene datos
871,No tiene datos
872,No tiene datos
873,No tiene datos
874,No tiene datos
875,70
876,No tiene datos
877,No tiene datos
878,No tiene datos
879,No tiene datos
880,17
881,No tiene datos
882,No tiene datos
883,No tiene datos
884,No tiene datos
885,No tiene datos
886,No tiene datos
887,No tiene datos
888,50
889,No tiene datos
890,No tiene datos
891,No tiene datos
892,No tiene datos
893,No tiene datos
894,No tiene datos
895,No tiene datos
896,No tiene datos
897,No tiene datos
898,No tiene datos
899,No tiene datos
900,No tiene datos
901,No tiene datos
902,34
903,No tiene datos
904,No tiene datos
905,33
906,No tiene datos
907,No tiene datos
908,72
909,No tiene datos
910,No tiene datos
911,65
912,95
913,No tiene datos
914,No tiene datos
915,No tiene datos
916,No tiene datos
917,No tiene datos
918,No tiene datos
919,No tiene datos
920,57
921,No tiene datos
922,No tiene datos
923,No tiene datos
924,No tiene datos
925,No tiene datos
926,46
927,36
928,No tiene datos
929,No tiene datos
930,No tiene datos
931,No tiene datos
932,No tiene datos
933,No tiene datos
934,No tiene datos
935,No tiene datos
936,No tiene datos
937,No tiene datos
938,No tiene datos
939,No tiene datos
940,38
941,No tiene datos
942,No tiene datos
943,No tiene datos
944,No tiene datos
945,No tiene datos
946,No tiene datos
947,No tiene datos
948,No tiene datos
949,27
950,No tiene datos
951,No tiene datos
952,No tiene datos
953,No tiene datos
954,No tiene datos
955,No tiene datos
956,75
957,No tiene datos
958,No tiene datos
959,60
960,No tiene datos
961,No tiene datos
962,No tiene datos
963,88
964,No tiene datos
965,No tiene datos
966,No tiene datos
967,No tiene datos
968,No tiene datos
969,No tiene datos
970,55
971,53
972,No tiene datos
973,No tiene datos
974,No tiene datos
975,No tiene datos
976,No tiene datos
